Name;ID;disparador
AM04CUX04 Apertura;PLBWX5XYGQ2B3GP7IN8Q-99e258e74499e41@bm.com-1608066985491;paseo
AM04CUX04 Apertura;PLBWX5XYGQ2B3GP7IN8Q-99e258e74499e41@bm.com-1608066985491;paseo
CIU05CUX04 Apertura;PLBWX5XYGQ2B3GP7IN8Q-e50zktv6ev@b.m-1676315799060;paseos
CIU05CUX04 Apertura;PLBWX5XYGQ2B3GP7IN8Q-e50zktv6ev@b.m-1676315799060;paseos
CIU05CUX04 Apertura;PLBWX5XYGQ2B3GP7IN8Q-e50zktv6ev@b.m-1676315799060;paseos
CIU05CUX04 Apertura;PLBWX5XYGQ2B3GP7IN8Q-e50zktv6ev@b.m-1676315799060;paseos
MO06CUX03 Apertura;PLBWX5XYGQ2B3GP7IN8Q-kxkhhngwdn@b.m-1691515817419;paseo
MO06CUX03 Apertura;PLBWX5XYGQ2B3GP7IN8Q-kxkhhngwdn@b.m-1691515817419;paseo
MO06CUX03 Apertura;PLBWX5XYGQ2B3GP7IN8Q-kxkhhngwdn@b.m-1691515817419;paseo
MO06CUX03 Apertura;PLBWX5XYGQ2B3GP7IN8Q-kxkhhngwdn@b.m-1691515817419;paseo
MO06CUX03 Apertura;PLBWX5XYGQ2B3GP7IN8Q-kxkhhngwdn@b.m-1691515817419;paseo
TU01CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-742a0b3f4599160@bm.com-1632862004698;paseos
TU01CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-742a0b3f4599160@bm.com-1632862004698;paseos
GA02CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-38jx4jxbdy@b.m-1649869438562;paseo
TR03CUX20 Apertura;PLBWX5XYGQ2B3GP7IN8Q-a9qlbr2ycv@b.m-1699274306053;paseos
TR03CUX20 Apertura;PLBWX5XYGQ2B3GP7IN8Q-a9qlbr2ycv@b.m-1699274306053;paseo
TR03CUX20 Apertura;PLBWX5XYGQ2B3GP7IN8Q-a9qlbr2ycv@b.m-1699274306053;paseo
CU10CUX02 Apertura Mafalda;PLBWX5XYGQ2B3GP7IN8Q-uhedtfyasv@b.m-1686248025580;paseo
CU10CUX02 Esquina Mafalda;PLBWX5XYGQ2B3GP7IN8Q-ccygj35uxv@b.m-1686250832968;paseo
