Name;ID;disparador
EDU05CUX06 Apertura;PLBWX5XYGQ2B3GP7IN8Q-n1t1hr9z8w@b.m-1717726345919;cursos
EDU05CUX06 Apertura;PLBWX5XYGQ2B3GP7IN8Q-n1t1hr9z8w@b.m-1717726345919;curso
EDU05CUX06 Apertura;PLBWX5XYGQ2B3GP7IN8Q-n1t1hr9z8w@b.m-1717726345919;cursos
EDU05CUX06 Apertura;PLBWX5XYGQ2B3GP7IN8Q-n1t1hr9z8w@b.m-1717726345919;curso
EDU02CUX06 Apertura;PLBWX5XYGQ2B3GP7IN8Q-8gtg9onw9u@b.m-1671739036553;curso
EDU02CUX06 Apertura;PLBWX5XYGQ2B3GP7IN8Q-8gtg9onw9u@b.m-1671739036553;curso
EDU02CUX06 Apertura;PLBWX5XYGQ2B3GP7IN8Q-8gtg9onw9u@b.m-1671739036553;curso
EDU02CUX06 Apertura;PLBWX5XYGQ2B3GP7IN8Q-8gtg9onw9u@b.m-1671739036553;curso
DH11CUX03 Apertura QR keywords;PLBWX5XYGQ2B3GP7IN8Q-4dqbszvtcz@b.m-1714490851482;curso
DH11CUX03 Apertura QR keywords;PLBWX5XYGQ2B3GP7IN8Q-4dqbszvtcz@b.m-1714490851482;curso
DH11CUX03 Apertura QR keywords;PLBWX5XYGQ2B3GP7IN8Q-4dqbszvtcz@b.m-1714490851482;curso
DH11CUX03 Apertura QR keywords;PLBWX5XYGQ2B3GP7IN8Q-4dqbszvtcz@b.m-1714490851482;curso
Paso a paso | Autopartes;PLBWX5XYGQ2B3GP7IN8Q-fernando@botmaker.com-1535864819163-2707;curso y taller
Paso a paso | Autopartes;PLBWX5XYGQ2B3GP7IN8Q-fernando@botmaker.com-1535864819163-2707;curso
Paso a paso | Autopartes;PLBWX5XYGQ2B3GP7IN8Q-fernando@botmaker.com-1535864819163-2707;curso y taller
Paso a paso | Autopartes;PLBWX5XYGQ2B3GP7IN8Q-fernando@botmaker.com-1535864819163-2707;curso
CU11CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ar19982fo6@b.m-1692031764158;cursos
CU11CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ar19982fo6@b.m-1692031764158;curso
EDU02CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-gyiokx7kjr@b.m-1647886429538;curso
EDU02CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-gyiokx7kjr@b.m-1647886429538;curso
EDU02CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-gyiokx7kjr@b.m-1647886429538;curso
EDU02CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-gyiokx7kjr@b.m-1647886429538;curso
DH08CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-v04ms80vox@b.m-1675187395862;cursos
DH08CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-v04ms80vox@b.m-1675187395862;curso
DH08CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-v04ms80vox@b.m-1675187395862;cursos
DH08CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-v04ms80vox@b.m-1675187395862;cursos
DH08CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-v04ms80vox@b.m-1675187395862;curso
DH08CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-v04ms80vox@b.m-1675187395862;cursos
DH08CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-v04ms80vox@b.m-1675187395862;curso
DH08CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-v04ms80vox@b.m-1675187395862;cursos
DH08CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-v04ms80vox@b.m-1675187395862;curso
DH08CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-v04ms80vox@b.m-1675187395862;cursos
DH11CUX04 Apertura de contingencia;PLBWX5XYGQ2B3GP7IN8Q-ac241d3giz@b.m-1715347908633;curso
DH11CUX04 Apertura de contingencia;PLBWX5XYGQ2B3GP7IN8Q-ac241d3giz@b.m-1715347908633;curso
SA14CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-g72o1ak4dg@b.m-1684951842963;cursos
SA14CUX01 Apertura;PLBWX5XYGQ2B3GP7IN8Q-g72o1ak4dg@b.m-1684951842963;curso
EDU04CUX20 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1542208249209;curso
EDU03CUX06 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1542981194221;cursos
EM04CUX02 Capacitaciones mujeres emprendedoras;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1550512635961;curso
EM04CUX02 Capacitaciones mujeres emprendedoras;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1550512635961;curso
EM04CUX02 Capacitaciones mujeres emprendedoras;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1550512635961;curso
EM04CUX02 Capacitaciones mujeres emprendedoras;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1550512635961;curso
EM04CUX02 Capacitaciones mujeres emprendedoras;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1550512635961;curso
EM04CUX02 Capacitaciones mujeres emprendedoras;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1550512635961;curso
EM04CUX02 Capacitaciones mujeres emprendedoras;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1550512635961;curso
EM04CUX02 Capacitaciones mujeres emprendedoras;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1550512635961;curso
EDU05CUX03 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1552484879294;Recursos Humanos
EDU05CUX03 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1552484879294;Recursos Humanos
EDU05CUX03 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1552484879294;cursos
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;cursos
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;curso y taller
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;curso
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;curso
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;curso
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;curso
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;curso
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;curso
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;curso
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;curso
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;curso
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;curso
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;cursos
EDU02CUX02 Apertura;PLBWX5XYGQ2B3GP7IN8Q-ajd05uhzot@b.m-1646231566369;curso
CU03CUX04 Apertura;PLBWX5XYGQ2B3GP7IN8Q-bn50h0447t@b.m-1628281385992;cursos
CU03CUX04 Apertura;PLBWX5XYGQ2B3GP7IN8Q-bn50h0447t@b.m-1628281385992;cursos
CU03CUX04 Apertura;PLBWX5XYGQ2B3GP7IN8Q-bn50h0447t@b.m-1628281385992;cursos
DH09CUX01 Centro lúdico;PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1557950273396;recursos
DH09CUX01 Centro lúdico, capacitaciones;PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1557953248401;cursos
DH09CUX01 Centro lúdico, capacitaciones;PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1557953248401;curso
DH09CUX01 Centro lúdico, capacitaciones;PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1557953248401;curso
DH09CUX01 Primera infancia, qué ofrecen;PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1557944475602;curso
EDU02CUX04 Apertura;PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1558467480961;cursos
TR03CUX09 Recurso Reconsideración y Jerárquico;PLBWX5XYGQ2B3GP7IN8Q-c881z9dwh6@b.m-1699538659183;recurso
TR03CUX09 Recurso Reconsideración y Jerárquico;PLBWX5XYGQ2B3GP7IN8Q-c881z9dwh6@b.m-1699538659183;recurso
TR03CUX09 Recurso Reconsideración y Jerárquico;PLBWX5XYGQ2B3GP7IN8Q-c881z9dwh6@b.m-1699538659183;recurso
SA13CUX01 Contacto ;PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1563198789358;cursos
